,,Accuracy,Best_C,total_recall,total_precision
no_transformation,TF-IDF,0.689699296225208,1,0.6836970358246954,0.6866312193755614
no_transformation,TF-IDF with N-Grams,0.6423544465770953,1,0.6344327067731323,0.6380320240778885
no_transformation,GloVe,0.6693680244543968,100,0.6627193925066266,0.6658235456375439
no_transformation,Word2Vec,0.6624013648965664,1,0.6534510406850833,0.6591971316104543
no_transformation,TF-IDF weighted GloVe,0.6639653088789366,10,0.656983363366342,0.6602980284118469
no_transformation,TF-IDF weighted Word2Vec,0.6517381104713158,1,0.6418274396997801,0.6483326417964118
stopwords,TF-IDF,0.6861448780834577,1,0.679833661805765,0.6826506768852196
stopwords,TF-IDF with N-Grams,0.6409326793203952,1,0.6315615125910347,0.6362157945984537
stopwords,GloVe,0.6675908153835217,100,0.6603720992084795,0.66365891887139
stopwords,Word2Vec,0.6615483045425464,1,0.6518808417228623,0.6579623389168605
stopwords,TF-IDF weighted GloVe,0.6593445652946612,0.1,0.6516572843664281,0.6551862149923904
stopwords,TF-IDF weighted Word2Vec,0.6484680457809057,0.1,0.6365344687693805,0.6450297161663574
